ScientificName,validAphiaID,ValidName,Family,Genus,Rank,CommonName,TrophicCat,TrophicLevel,CommImp,Distribution,Range,Habitat,JuvLgth_m,MaxLgth_m,IUCNStatus,a,b,LengthType,LenLenRatio
Scomberomorus sierra,273821,Scomberomorus sierra,Scombridae,Scomberomorus,Species,Pacific sierra,Carnivore,4.5,SportsFishing,Tropical,Panamic,"Pelagic, neritic",0.33,0.99,LC,0.01,2.82,TL,0.029+(1.11*FL)
Scyllarides astori,382910,Scyllarides astori,Scyllaridae,Scyllarides,Species,Galapagos slipper lobster,,NA,High,,,,NA,NA,DD,NA,NA,,
Selar crumenophthalmus,159646,Selar crumenophthalmus,Carangidae,Selar,Species,Bigeye scad,Planktivore,3.8,No,Subtropical,Circumtropical,"Reef, pelagic, nearshore",0.23,0.7,LC,0.0059,3.23,TL,1.13
Seriola lalandi,218436,Seriola lalandi,Carangidae,Seriola,Species,Yellowtail amberjack,Carnivore,3.85,No,NA,NA,Benthopelagic,0.83,2.5,LC,0.0432,2.85,FL,1
Seriola rivoliana,126818,Seriola rivoliana,Carangidae,Seriola,Species,Longfin yellowtail,Apex,4.5,Medium,NA,NA,Reef,0.53,1.6,LC,0.0359,2.801,FL,1
Serranidae sp,125561,Serranidae sp,Serranidae,NA,Family,Serrano,,,,,,,,,,,,,
Serranus psittacinus,273904,Serranus psittacinus,Serranidae,Serranus,Species,Barred serrano,Carnivore,3.5,No,Tropical,Panamic,"Reef, nearshore",0.06,0.18,LC,0.01096,3.05,TL,1
Spheniscus mendiculus,344001,Spheniscus mendiculus,Spheniscidae,Spheniscus,Species,Galapagos Penguin,,NA,No,,Endemic,Upwelling areas,NA,NA,EN,NA,NA,,
Sphoeroides angusticeps,275271,Sphoeroides angusticeps,Tetraodontidae,Sphoeroides,Species,Narrow-headed puffer,Carnivore,3.5,No,Tropical,Endemic,Reef,0.08,0.25,LC,0.0257,2.88,TL,1
Sphoeroides annulatus,275272,Sphoeroides annulatus,Tetraodontidae,Sphoeroides,Species,Bullseye puffer,Carnivore,3.1,No,Subtropical,Panamic,"Reef, nearshore",0.15,0.44,LC,0.0427,2.8,TL,1
Sphyraena idiastes,273981,Sphyraena idiastes,Sphyraenidae,Sphyraena,Species,Pelican barracuda,Carnivore,4.5,Low,Tropical,Panamic/Chilean,"Reef, pelagic, nearshore",0.3,0.91,LC,0.00759,2.91,TL,1.1
Sphyrna lewini,105816,Sphyrna lewini,Sphyrnidae,Sphyrna,Species,Scalloped hammerhead,Apex,4.21,No,NA,NA,Pelagic,1.43,4.3,EN,0.00777,3.067,FL,1
Stegastes acapulcoensis,276658,Stegastes acapulcoensis,Pomacentridae,Stegastes,Species,Acapulco major,Herbivore,2,No,Tropical,Panamic,"Reef, nearshore",0.06,0.17,LC,0.01995,2.99,TL,1.082
Stegastes arcifrons,276662,Stegastes arcifrons,Pomacentridae,Stegastes,Species,Island major,Carnivore,3,No,Tropical,Panamic,"Reef, nearshore",0.05,0.16,LC,0.01995,2.99,TL,1.08
Stegastes beebei,276665,Stegastes beebei,Pomacentridae,Stegastes,Species,Southern whitetail major,Carnivore,3,No,Tropical,Panamic,"Reef, nearshore",0.05,0.15,VU,0.01995,2.99,TL,1.044
Stegastes sp,203822,Stegastes sp,Pomacentridae,Stegastes,Genus,Major,,,,,,,,,,,,,
Stethojulis bandanensis,277106,Stethojulis bandanensis,Labridae,Stethojulis,Species,Red shoulder wrasse,Carnivore,3.2,No,Tropical,Panamic/IndoWest Pacific,Reef,0.05,0.15,LC,0.03035,2.581,FL,1
Sufflamen verres,276853,Sufflamen verres,Balistidae,Sufflamen,Species,Orangeside triggerfish,Carnivore,3.3,No,Tropical,Panamic,Reef,0.13,0.4,LC,0.02865,2.966,FL,1
Taeniurops meyeni,217421,Taeniurops meyeni,Dasyatidae,Taeniurops,Species,Round ribbontail ray,Carnivore,4.2,No,Tropical,Eastern Pacific/Indo West Pacific,Reef,0.11,0.33,VU,0.0739,2.81,DW,1
Tetraodontidae sp,125612,Tetraodontidae sp,Tetraodontidae,NA,Family,Pufferfish,,,,,,,,,,,,,
Thalassoma grammaticum,273580,Thalassoma grammaticum,Labridae,Thalassoma,Species,Sunset wrasse,Carnivore,3.5,No,Tropical,Panamic,Reef,0.11,0.32,LC,0.00977,3.04,TL,1
Thalassoma lucasanum,273584,Thalassoma lucasanum,Labridae,Thalassoma,Species,Cortez rainbow wrasse,Carnivore,3.5,No,Tropical,Panamic,"Reef, nearshore",0.05,0.15,LC,0.0126,2.878,TL,1
Thunnus albacares,127027,Thunnus albacares,Scombridae,Thunnus,Species,Yellowfin tuna,Apex,4.48,High,NA,NA,Pelagic,0.8,2.39,NT,0.0216,2.981,TL,1.108
Trachinotus stilbe,273298,Trachinotus stilbe,Carangidae,Trachinotus,Species,Steel pompano,Carnivore,3.6,SportsFishing,Tropical,Panamic,"Pelagic, nearshore",0.13,0.38,LC,0.01288,2.97,TL,1.276
Triaenodon obesus,214557,Triaenodon obesus,Carcharhinidae,Triaenodon,Species,Whitetip reef shark,Apex,4.2,No,Tropical,Panamic/IndoWest Pacific,"Reef, pelagic",0.71,2.13,NT,0.0018,3.344,FL,1
Tursiops truncatus,137111,Tursiops truncatus,Delphinidae,Tursiops,Species,Common bottlenose dolphin,,NA,No,Tropical/Subtropical,Global,"Coastal, neritic, pelagic",NA,NA,LC,NA,NA,,
Uraspis helvola,218449,Uraspis helvola,Carangidae,Uraspis,Species,Whitetongue jack,Carnivore,3.78,No,NA,NA,Reef,0.19,0.58,LC,0.01349,2.96,TL,1.089
Xanthichthys mento,276247,Xanthichthys mento,Balistidae,Xanthichthys,Species,Redtail triggerfish,Planktivore,4,No,NA,NA,Reef,0.1,0.3,LC,0.02344,2.96,FL,1
Xenichthys agassizi,283175,Xenichthys agassizii,Haemulidae,Xenichthys,Species,White salema,Planktivore,3.4,Low,Tropical,Endemic,"Reef, nearshore",0.07,0.22,VU,0.0138,2.99,TL,1.046
Xenocys jessiae,283184,Xenocys jessiae,Haemulidae,Xenocys,Species,Blackstriped salema,Planktivore,3.4,Low,Tropical,Endemic,"Reef, nearshore",0.1,0.3,VU,0.00389,3.12,TL,1.06
Xenomugil thoburni,283187,Xenomugil thoburni,Mugilidae,Xenomugil,Species,Thoburn's mullet,Planktivore,2.3,Medium,Tropical,Panamic,"Pelagic, nearshore, estuarine",0.18,0.55,LC,0.01096,2.97,TL,1.1
Zalophus wollebaeki,255005,Zalophus wollebaeki,Otariidae,Zalophus,Species,Galapagos sea lion,,NA,No,,,,NA,NA,EN,NA,NA,,
Zanclus cornutus,220083,Zanclus cornutus,Zanclidae,Zanclus,Species,Moorish idol,Carnivore,2.49,No,NA,NA,Reef,0.08,0.23,LC,0.0147,3.37,FL,1
